,sitelocality,site,locality,temp,salinity,depth,temp_mean,turbidity_m,turbidity_std_indv,turbidity_std_rank,latitude,longitude,CHL_OM,CHL_OSD,SPM_OM,SPM_OSD,BBP_OM,BBP_OSD,PP_mean,PP_sd,CDM_OM,CDM_OSD
28_STEshal_2mm,Stetson_coral,Stetson,coral,22.95,36.25,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
29_STEshal_2mm,Stetson_coral,Stetson,coral,22.07,36.26,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
30_STEshal_2mm,Stetson_coral,Stetson,coral,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
34_EFGdeep_2mm,EFGB_deep,EFGB,deep,21.42,35.99,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
35_EFGdeep_2mm,EFGB_deep,EFGB,deep,20.98,36.23,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
36_EFGdeep_2mm,EFGB_deep,EFGB,deep,21.12,36.19,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
31_EFGshal_2mm,EFGB_shallow,EFGB,shallow,23.17,36.31,55,22.5535989,14,1.333492378,2.428571429,27.900075,-93.609576,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
32_EFGshal_2mm,EFGB_shallow,EFGB,shallow,na,na,55,22.5535989,14,1.333492378,2.428571429,27.899992,-93.609618,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
33_EFGshal_2mm,EFGB_shallow,EFGB,shallow,23.1,36.25,55,22.5535989,14,1.333492378,2.428571429,27.900074,-93.609648,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
25_BRIshal_2mm,Bright_shallow,Bright,shallow,22.6,36.29,65,21.6484004,9.3,0.416501906,4.142857143,27.89328,-93.271731,0.17203476,0.059316113,0.352876233,0.068628463,0.001332392,0.000259265,417.8300923,127.6111537,0.0119523,0.005141303
