,Sample_ID,fileID,fullsample_ID,sample_id_r,sampCode,armsCode,siteType,site,sitelocality0,sitelocality,temp,salinity,depth,temp_mean,turbidity_m,turbidity_std_indv,turbidity_std_rank,latitude,longitude,locality,fraction,relativeAbundance,numberOTUs,Shannon,Simpson,Pielou,Margalef,Chao1,ACE,fileID_normalized,arms,type,core_value,CHL_OM,CHL_OSD,SPM_OM,SPM_OSD,BBP_OM,BBP_OSD,PP_mean,PP_sd,CDM_OM,CDM_OSD
SH21727,primers.trimmed.1392.028.SH21727.COI.28.SESS_F_filt,primers-trimmed-1392-028-SH21727-COI-28-SESS_F_filt.fastq.gz,SH21727-COI-28-SESS,28b_STE_SESSILE,stetson_arms_28b_sessile,Stetson_28b_sessile,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.95,36.25,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,sessile,59231,605,6.029451352,0.964096841,0.941332755,54.96305297,631.3291139,639.1024105,primers.trimmed.1392.028.SH21727.COI.28.SESS_F_filt.fastq.gz,28b,arms,28_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21728,primers.trimmed.1392.029.SH21728.COI.29.SESS_F_filt,primers-trimmed-1392-029-SH21728-COI-29-SESS_F_filt.fastq.gz,SH21728-COI-29-SESS,29b_STE_SESSILE,stetson_arms_29b_sessile,Stetson_29b_sessile,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.07,36.26,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,sessile,58002,451,5.592085155,0.94218897,0.915015142,41.02757567,466,471.6063916,primers.trimmed.1392.029.SH21728.COI.29.SESS_F_filt.fastq.gz,29b,arms,19_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21729,primers.trimmed.1392.030.SH21729.COI.30.SESS_F_filt,primers-trimmed-1392-030-SH21729-COI-30-SESS_F_filt.fastq.gz,SH21729-COI-30-SESS,30_STE_SESSILE,stetson_arms_30_sessile,Stetson_30_sessile,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,sessile,56479,523,5.404159528,0.934966053,0.863341992,47.70772529,550.5,550.050588,primers.trimmed.1392.030.SH21729.COI.30.SESS_F_filt.fastq.gz,30,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21793,primers.trimmed.1392.095.SH21793.COI.28.100_F_filt,primers-trimmed-1392-095-SH21793-COI-28-100_F_filt.fastq.gz,SH21793-COI-28-100,28_STE_100,stetson_arms_28_100,Stetson_28_100,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.95,36.25,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,100,43308,774,7.080195312,0.978312909,1.064439421,72.4047669,794.16,804.4929302,primers.trimmed.1392.095.SH21793.COI.28.100_F_filt.fastq.gz,28,arms,28_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21794,primers.trimmed.1392.097.SH21794.COI.28.500_F_filt,primers-trimmed-1392-097-SH21794-COI-28-500_F_filt.fastq.gz,SH21794-COI-28-500,28_STE_500,stetson_arms_28_500,Stetson_28_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.95,36.25,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,141102,554,5.971631723,0.967731061,0.945302524,46.63817876,567,573.1649812,primers.trimmed.1392.097.SH21794.COI.28.500_F_filt.fastq.gz,28,arms,28_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21795,primers.trimmed.1392.098.SH21795.COI.29.100_F_filt,primers-trimmed-1392-098-SH21795-COI-29-100_F_filt.fastq.gz,SH21795-COI-29-100,29_STE_100,stetson_arms_29_100,Stetson_29_100,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.07,36.26,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,100,63832,811,7.099357652,0.982205734,1.059879598,73.21034657,828.5247525,838.1151758,primers.trimmed.1392.098.SH21795.COI.29.100_F_filt.fastq.gz,29,arms,19_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21796,primers.trimmed.1392.099.SH21796.COI.29.100b_F_filt,primers-trimmed-1392-099-SH21796-COI-29-100b_F_filt.fastq.gz,SH21796-COI-29-100b,29b_STE_100,stetson_arms_29b_100,Stetson_29b_100,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.07,36.26,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,100,72012,921,7.320842501,0.985529635,1.072578619,82.25604697,940.5,953.4642085,primers.trimmed.1392.099.SH21796.COI.29.100b_F_filt.fastq.gz,29b,arms,19_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21797,primers.trimmed.1392.100.SH21797.COI.29.500_F_filt,primers-trimmed-1392-100-SH21797-COI-29-500_F_filt.fastq.gz,SH21797-COI-29-500,29_STE_500,stetson_arms_29_500,Stetson_29_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,22.07,36.26,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,72614,508,6.387358904,0.974769825,1.025179026,45.29651924,528.2040816,532.8090016,primers.trimmed.1392.100.SH21797.COI.29.500_F_filt.fastq.gz,29,arms,19_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21798,primers.trimmed.1392.101.SH21798.COI.30.100_F_filt,primers-trimmed-1392-101-SH21798-COI-30-100_F_filt.fastq.gz,SH21798-COI-30-100,30_STE_100,stetson_arms_30_100,Stetson_30_100,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,100,21213,683,7.409780023,0.986730539,1.135338368,68.45760954,716.0612245,725.5756431,primers.trimmed.1392.101.SH21798.COI.30.100_F_filt.fastq.gz,30,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21799,primers.trimmed.1392.102.SH21799.COI.30.100b_F_filt,primers-trimmed-1392-102-SH21799-COI-30-100b_F_filt.fastq.gz,SH21799-COI-30-100b,30b_STE_100,stetson_arms_30b_100,Stetson_30b_100,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,100,38126,837,7.41397204,0.98631208,1.101659117,79.2518343,852.5,866.6354859,primers.trimmed.1392.102.SH21799.COI.30.100b_F_filt.fastq.gz,30b,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21800,primers.trimmed.1392.103.SH21800.COI.30.500_F_filt,primers-trimmed-1392-103-SH21800-COI-30-500_F_filt.fastq.gz,SH21800-COI-30-500,30_STE_500,stetson_arms_30_500,Stetson_30_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,85067,519,5.784535238,0.95824413,0.925243789,45.63396406,540.2,547.9441758,primers.trimmed.1392.103.SH21800.COI.30.500_F_filt.fastq.gz,30,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21801,primers.trimmed.1392.104.SH21801.COI.30.500b_F_filt,primers-trimmed-1392-104-SH21801-COI-30-500b_F_filt.fastq.gz,SH21801-COI-30-500b,30b_STE_500,stetson_arms_30b_500,Stetson_30b_500,Stetson_coral,Stetson,Stetson_coral,Stetson_shallow,23.13,36.19,54,22.143352,3.1,-0.998676079,11.28571429,28.15685,-94.30297,coral,500,18687,284,5.991301722,0.969724041,1.060599937,28.77307723,301,302.9380804,primers.trimmed.1392.104.SH21801.COI.30.500b_F_filt.fastq.gz,30b,arms,30_STE,0.147437619,0.046237678,0.349222204,0.048197993,0.001270886,0.000231884,378.0407235,67.76436582,0.010061002,0.004386475
SH21733,primers.trimmed.1392.034.SH21733.COI.34.SESS_F_filt,primers-trimmed-1392-034-SH21733-COI-34-SESS_F_filt.fastq.gz,SH21733-COI-34-SESS,34_EFGdeep_SESSILE,efgb_arms_34_sessile,EFGB_34_sessile,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.42,35.99,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,sessile,61502,703,5.858403423,0.942639477,0.893681842,63.66293123,751.5666667,758.1925806,primers.trimmed.1392.034.SH21733.COI.34.SESS_F_filt.fastq.gz,34,arms,34_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
