family_name_input,aphia_id,phyllum,class,order,accepted_family,common_name,mobility,nutritional_strategy,confidence,evidence_source_domain,evidence_url1,evidence_url2,notes,assigned_by,date_assigned
Eenymeenymyzostomatidae,867180,Annelida,Annelida incertae sedis,Myzostomida,Eenymeenymyzostomatidae,myzostomid parasites,Mobile,Parasite,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=867180,,Myzostomids are echinoderm-associated parasites/commensals; adults live on/in hosts.,GPT-5 Pro,9/25/25
Endomyzostomatidae,249687,Annelida,Annelida incertae sedis,Myzostomida,Endomyzostomatidae,endoparasitic myzostomids,Mobile,Parasite,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=249687,,Endoparasites of echinoderms; adults live within host tissues.,GPT-5 Pro,9/25/25
Myzostomidae,22609,Annelida,Annelida incertae sedis,Myzostomida,Myzostomatidae,myzostomids,Mobile,Parasite,0.7,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=22609,,Accepted family is Myzostomatidae; parasitic annelids on echinoderms (mostly crinoids.,GPT-5 Pro,9/25/25
Myzostomatidae,22609,Annelida,Annelida incertae sedis,Myzostomida,Myzostomatidae,myzostomid worms,Mobile,Parasite,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=22609,,Accepted family is Myzostomidae; input family name corrected; echinoderm-associated parasites/commensals.,GPT-5 Pro,9/25/25
Amphinomidae,960,Annelida,Polychaeta,Amphinomida,Amphinomidae,fireworms,Mobile,Predator;Scavenger,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=960,,Mobile polychaetes with opportunistic carnivory/scavenging; benthic.,GPT-5 Pro,9/24/25
Sabellariidae,979,Annelida,Polychaeta,Canalipalpata,Sabellariidae,honeycomb worms,Sessile,ADS,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=979,https://www.marlin.ac.uk/species/detail/1587,Tube-Tube-building reef worms filtering suspended particles.,GPT-5 Pro,9/25/25
Dorvilleidae,971,Annelida,Polychaeta,Eunicida,Dorvilleidae,dorvilleid polychaetes,Mobile,Deposit_feeder;Scavenger,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=971,,Opportunistic polychaetes in enriched sediments; deposit feed and scavenge.,GPT-5 Pro,9/24/25
Eunicidae,966,Annelida,Polychaeta,Eunicida,Eunicidae,eunicid polychaetes,Mobile,Predator;Scavenger,0.9,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=966,,"Active errant polychaetes (e.g., Eunice preying/scavenging on infauna.",GPT-5 Pro,9/24/25
Lumbrineridae,967,Annelida,Polychaeta,Eunicida,Lumbrineridae,lumbrinerid worms,Mobile,Predator;Scavenger,0.8,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=967,,Errant eunicidan polychaetes with raptorial jaws.,GPT-5 Pro,9/25/25
Oenonidae,22610,Annelida,Polychaeta,Eunicida,Oenonidae,oenonid worms,Mobile,Predator,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=22610,,Predatory eunicidan polychaetes; AphiaID–name match OK.,GPT-5 Pro,9/25/25
Onuphidae,965,Annelida,Polychaeta,Eunicida,Onuphidae,onuphid polychaetes,Mobile,Predator;Scavenger,0.85,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=965,,Family AphiaID confirmed; omnivory/scavenging noted across taxa.,GPT-5 Pro,9/25/25
Chrysopetalidae,944,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,polychaete bristle worms (chrysopetalids),Mobile,Unknown,0.5,marinespecies.org,https://www.marinespecies.org/aphia.php?p=taxdetails&id=944,,Feeding documented for some species but not consistent across family; insufficient basis for family‑level assignment.,GPT-5 Pro,9/26/25
