ASV_ID	database	pident	sseqid	length	qcovs	evalue	bitscore	specimen_id	phylum	class	order	family	genus	species	scientific_name	mismatch	gapopen	qstart	qend	sstart	send	accession	unique_phyla	
ASV_00352	NMNH	90.576	SH20756|Annelida|Aspidosiphon_elegans	382	100	1.88E-144	505	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Annelida	
ASV_01407	NMNH	100	SH20756|Annelida|Aspidosiphon_elegans	381	100	0	704	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Arthropoda	
ASV_02795	NMNH	98.688	SH20756|Annelida|Aspidosiphon_elegans	381	100	0	676	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Brachiopoda	
ASV_05761	NMNH	98.168	SH20756|Annelida|Aspidosiphon_elegans	382	100	0	665	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Bryozoa	
ASV_08423	NMNH	99.738	SH20756|Annelida|Aspidosiphon_elegans	381	100	0	699	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Chordata	
ASV_08434	NMNH	96.335	SH20756|Annelida|Aspidosiphon_elegans	382	100	0	627	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Cnidaria	
ASV_12598	NMNH	97.906	SH20756|Annelida|Aspidosiphon_elegans	382	100	0	660	SH20756	Annelida	Phascolosomatidea	Aspidosiphoniformes	Aspidosiphonidae	Aspidosiphon	elegans	Aspidosiphon elegans							SH20756	Ctenophora	
ASV_00365	NMNH	100	SH21353|Annelida|Amphinomidae	378	100	0	699	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Echinodermata	
ASV_01720	NMNH	96.032	SH21353|Annelida|Amphinomidae	378	100	8.23E-178	616	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Entoprocta	
ASV_02375	NMNH	96.561	SH21353|Annelida|Amphinomidae	378	100	0	627	SH21353	Annelida	Polychaeta	Amphinomida	Amphinomidae	Amphinomidae^	Amphinomidae^	Amphinomidae^							SH21353	Nematoda	
