ASV_ID,database,pident,sseqid,length,qcovs,evalue,bitscore,specimen_id,phylum,class,order,family,genus,species,scientific_name,mismatch,gapopen,qstart,qend,sstart,send,accession
ASV_01447,NCBI,99.681,gi|767806765|gb|KP254063.1|,313,100,1.54E-159,573,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,45,0,14,313,181,480,AF416994.1
ASV_02880,NCBI,99.361,gi|767807631|gb|KP254496.1|,313,100,7.18E-158,568,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,40,0,10,313,177,480,AF416994.1
ASV_03916,NCBI,97.444,gi|767807631|gb|KP254496.1|,313,100,7.28E-148,534,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,43,0,2,313,169,480,AF416994.1
ASV_04569,NCBI,99.042,gi|767807631|gb|KP254496.1|,313,100,3.34E-156,562,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,38,0,2,313,169,480,AF416994.1
ASV_05202,NCBI,99.042,gi|767807631|gb|KP254496.1|,313,100,3.34E-156,562,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,36,0,19,316,364,661,LC215604.1
ASV_05478,NCBI,97.764,gi|767807631|gb|KP254496.1|,313,100,1.56E-149,540,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,1,0,1,313,346,658,KP254063.1
ASV_06367,NCBI,99.361,gi|767807631|gb|KP254496.1|,313,100,7.18E-158,568,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,2,0,1,313,346,658,KP254496.1
ASV_09426,NCBI,97.444,gi|767807631|gb|KP254496.1|,313,100,7.28E-148,534,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,8,0,1,313,346,658,KP254496.1
ASV_10849,NCBI,97.444,gi|767807631|gb|KP254496.1|,313,100,7.28E-148,534,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,3,0,1,313,346,658,KP254496.1
ASV_12475,NCBI,99.042,gi|767807769|gb|KP254565.1|,313,100,3.34E-156,562,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,3,0,1,313,346,658,KP254496.1
ASV_14547,NCBI,97.444,gi|767807631|gb|KP254496.1|,313,100,7.28E-148,534,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,7,0,1,313,346,658,KP254496.1
ASV_19433,NCBI,99.361,gi|767807769|gb|KP254565.1|,313,100,7.18E-158,568,,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,2,0,1,313,346,658,KP254496.1
ASV_13406,NCBI,90.847,gi|684152141|gb|KM014175.1|,295,94,3.58E-106,396,,Annelida,Annelida,Myzostomida,Myzostomidae,Mesomyzostoma,katoi,Mesomyzostoma katoi,37,0,9,313,368,672,KX867413.1
ASV_04515,NCBI,85.034,gi|684152145|gb|KM014177.1|,294,94,2.89E-77,300,,Annelida,Annelida,Myzostomida,Myzostomidae,Mesomyzostoma,Mesomyzostoma*,Mesomyzostoma*,32,8,3,274,305,575,KU738208.1
ASV_09900,NCBI,87.778,gi|684152169|gb|KM014189.1|,270,86,2.87E-82,316,,Annelida,Annelida,Myzostomida,Myzostomidae,Myzostoma,josefinae,Myzostoma josefinae,32,8,5,274,307,575,KU738208.1
ASV_00470,NMNH,99.042,SH20745|Annelida|Phyllodoce,313,100,9.41E-162,562,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_01020,NMNH,89.644,SH20745|Annelida|Phyllodoce,309,99,3.63E-111,394,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_01612,NMNH,89.32,SH20745|Annelida|Phyllodoce,309,99,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_02704,NMNH,100,SH20745|Annelida|Phyllodoce,313,100,9.34E-167,579,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_03873,NMNH,89.644,SH20745|Annelida|Phyllodoce,309,99,3.63E-111,394,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_03894,NMNH,99.681,SH20745|Annelida|Phyllodoce,313,100,4.35E-165,573,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_04922,NMNH,99.361,SH20745|Annelida|Phyllodoce,313,100,2.02E-163,568,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_05761,NMNH,99.361,SH20745|Annelida|Phyllodoce,313,100,2.02E-163,568,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_05798,NMNH,88.997,SH20745|Annelida|Phyllodoce,309,99,7.86E-108,383,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_06072,NMNH,99.361,SH20745|Annelida|Phyllodoce,313,100,2.02E-163,568,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_06415,NMNH,89.137,SH20745|Annelida|Phyllodoce,313,100,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_06682,NMNH,89.32,SH20745|Annelida|Phyllodoce,309,99,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_07291,NMNH,98.722,SH20745|Annelida|Phyllodoce,313,100,4.38E-160,556,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_07299,NMNH,88.35,SH20745|Annelida|Phyllodoce,309,99,1.70E-104,372,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_08016,NMNH,89.644,SH20745|Annelida|Phyllodoce,309,99,3.63E-111,394,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_08402,NMNH,88.997,SH20745|Annelida|Phyllodoce,309,99,7.86E-108,383,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_08882,NMNH,89.836,SH20745|Annelida|Phyllodoce,305,97,1.31E-110,392,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_09210,NMNH,88.673,SH20745|Annelida|Phyllodoce,309,99,3.66E-106,377,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_09338,NMNH,89.32,SH20745|Annelida|Phyllodoce,309,99,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_10512,NMNH,90.096,SH20745|Annelida|Phyllodoce,313,100,1.68E-114,405,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_11199,NMNH,88.997,SH20745|Annelida|Phyllodoce,309,99,7.86E-108,383,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_11226,NMNH,88.636,SH20745|Annelida|Phyllodoce,308,98,1.32E-105,375,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_11744,NMNH,90.096,SH20745|Annelida|Phyllodoce,313,100,1.68E-114,405,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_13179,NMNH,89.32,SH20745|Annelida|Phyllodoce,309,99,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_13782,NMNH,89.32,SH20745|Annelida|Phyllodoce,309,99,1.69E-109,388,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_15156,NMNH,90.735,SH20745|Annelida|Phyllodoce,313,100,7.75E-118,416,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_15936,NMNH,89.968,SH20745|Annelida|Phyllodoce,309,99,7.80E-113,399,SH20745,Annelida,Annelida,Polychaeta,Phyllodocida,Phyllodoce,Phyllodoce*,Phyllodoce*,,,,,,,SH20745
ASV_01666,NMNH,100,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.34E-167,579,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_02152,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_02292,NMNH,99.681,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.35E-165,573,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_02482,NMNH,99.681,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.35E-165,573,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_02705,NMNH,99.361,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.02E-163,568,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_03045,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_03621,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_03947,NMNH,98.403,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.04E-158,551,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_03951,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_04114,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_04152,NMNH,99.361,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.02E-163,568,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_04774,NMNH,98.403,SH20756|Annelida|Aspidosiphon_elegans,313,100,2.04E-158,551,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_04803,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_05814,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_07700,NMNH,98.722,SH20756|Annelida|Aspidosiphon_elegans,313,100,4.38E-160,556,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
ASV_09115,NMNH,99.042,SH20756|Annelida|Aspidosiphon_elegans,313,100,9.41E-162,562,SH20756,Annelida,Phascolosomatidea,Aspidosiphoniformes,Aspidosiphonidae,Aspidosiphon,elegans,Aspidosiphon elegans,,,,,,,SH20756
